question,intent
I am asking: why is money allocated to INFY,EXPLAIN_STOCK_INCLUSION
I am asking: why is no money allocated to INFY,EXPLAIN_STOCK_EXCLUSION
I am asking: why is the portfolio allocated this way,ALLOCATION_RATIONALE
I am asking: why this combination of stocks,ALLOCATION_RATIONALE
I am asking: why was ASIANPAINT bought,EXPLAIN_STOCK_INCLUSION
I am asking: why was ASIANPAINT not selected,EXPLAIN_STOCK_EXCLUSION
I am asking: write an email for me,UNKNOWN
I want to know: am I well diversified,DIVERSIFICATION_QUESTION
I want to know: book a restaurant,UNKNOWN
I want to know: describe diversification,DIVERSIFICATION_QUESTION
I want to know: describe the portfolio construction,ALLOCATION_RATIONALE
I want to know: describe the portfolio risk level,PORTFOLIO_RISK_SUMMARY
I want to know: do I hold enough different assets,DIVERSIFICATION_QUESTION
I want to know: explain my diversification score,DIVERSIFICATION_QUESTION
I want to know: explain my risk numbers,PORTFOLIO_RISK_SUMMARY
I want to know: explain the overall allocation,ALLOCATION_RATIONALE
I want to know: explain the overall investment mix,ALLOCATION_RATIONALE
I want to know: explain the rejection of DIVISLAB,EXPLAIN_STOCK_EXCLUSION
I want to know: explain the selected mix,ALLOCATION_RATIONALE
I want to know: explain the selection of DIVISLAB,EXPLAIN_STOCK_INCLUSION
I want to know: explain why we do not own MARUTI,EXPLAIN_STOCK_EXCLUSION
I want to know: explain why we own MARUTI,EXPLAIN_STOCK_INCLUSION
I want to know: give me a risk summary,PORTFOLIO_RISK_SUMMARY
I want to know: give me the concentration breakdown,DIVERSIFICATION_QUESTION
I want to know: give me the portfolio rationale,ALLOCATION_RATIONALE
I want to know: give me world news,UNKNOWN
I want to know: help me buy a phone,UNKNOWN
I want to know: how balanced is the portfolio,DIVERSIFICATION_QUESTION
I want to know: how did the optimizer allocate my money,ALLOCATION_RATIONALE
I want to know: how diversified is my portfolio,DIVERSIFICATION_QUESTION
I want to know: how do I bake bread,UNKNOWN
I want to know: how does the portfolio change in a crash,HYPOTHETICAL_SHOCK
I want to know: how much risk am I taking,PORTFOLIO_RISK_SUMMARY
I want to know: how risky is my portfolio,PORTFOLIO_RISK_SUMMARY
I want to know: how spread out are my investments,DIVERSIFICATION_QUESTION
I want to know: how volatile are these holdings,PORTFOLIO_RISK_SUMMARY
I want to know: how would a 10% crash affect me,HYPOTHETICAL_SHOCK
I want to know: is my allocation concentrated,DIVERSIFICATION_QUESTION
I want to know: is one sector dominating,DIVERSIFICATION_QUESTION
I want to know: is this portfolio high risk,PORTFOLIO_RISK_SUMMARY
I want to know: justify including NTPC,EXPLAIN_STOCK_INCLUSION
I want to know: justify leaving out NTPC,EXPLAIN_STOCK_EXCLUSION
I want to know: play some music,UNKNOWN
I want to know: reason for excluding AXISBANK,EXPLAIN_STOCK_EXCLUSION
I want to know: reason for holding AXISBANK,EXPLAIN_STOCK_INCLUSION
I want to know: reoptimize after a 10% decline,HYPOTHETICAL_SHOCK
I want to know: run a falls scenario,HYPOTHETICAL_SHOCK
I want to know: run an inflation shock,HYPOTHETICAL_SHOCK
I want to know: set an alarm,UNKNOWN
I want to know: show a real market shock result,HYPOTHETICAL_SHOCK
I want to know: show movie times,UNKNOWN
I want to know: show my sharpe and volatility,PORTFOLIO_RISK_SUMMARY
I want to know: show stock and sector concentration,DIVERSIFICATION_QUESTION
I want to know: simulate a 5% market falls,HYPOTHETICAL_SHOCK
I want to know: simulate an interest rate increase,HYPOTHETICAL_SHOCK
I want to know: stress test a market drops,HYPOTHETICAL_SHOCK
I want to know: stress the IT sector,HYPOTHETICAL_SHOCK
I want to know: summarize my portfolio risk,PORTFOLIO_RISK_SUMMARY
I want to know: summarize the optimization decision,ALLOCATION_RATIONALE
I want to know: summarize why this portfolio was chosen,ALLOCATION_RATIONALE
I want to know: tell me a joke,UNKNOWN
I want to know: tell me about sector diversification,DIVERSIFICATION_QUESTION
I want to know: tell me the risk metrics,PORTFOLIO_RISK_SUMMARY
I want to know: tell me why HINDALCO is excluded,EXPLAIN_STOCK_EXCLUSION
I want to know: tell me why HINDALCO is included,EXPLAIN_STOCK_INCLUSION
I want to know: translate this sentence,UNKNOWN
I want to know: what determined the allocation,ALLOCATION_RATIONALE
I want to know: what does analytics say about risk,PORTFOLIO_RISK_SUMMARY
I want to know: what does the diversification metric mean,DIVERSIFICATION_QUESTION
I want to know: what drove these weights,ALLOCATION_RATIONALE
I want to know: what happens during a crash,HYPOTHETICAL_SHOCK
I want to know: what if inflation rises 15%,HYPOTHETICAL_SHOCK
I want to know: what if interest rates rise 5%,HYPOTHETICAL_SHOCK
I want to know: what if the Pharma sector crashes,HYPOTHETICAL_SHOCK
I want to know: what if the market crashes,HYPOTHETICAL_SHOCK
I want to know: what is my portfolio diversity,DIVERSIFICATION_QUESTION
I want to know: what is my volatility,PORTFOLIO_RISK_SUMMARY
I want to know: what is quantum physics,UNKNOWN
I want to know: what is the capital of france,UNKNOWN
I want to know: what is the concentration level,DIVERSIFICATION_QUESTION
I want to know: what is the exclusion rationale for ASIANPAINT,EXPLAIN_STOCK_EXCLUSION
I want to know: what is the inclusion rationale for ASIANPAINT,EXPLAIN_STOCK_INCLUSION
I want to know: what is the logic behind the allocation,ALLOCATION_RATIONALE
I want to know: what is the maximum drawdown,PORTFOLIO_RISK_SUMMARY
I want to know: what is the realized risk,PORTFOLIO_RISK_SUMMARY
I want to know: what is the weather today,UNKNOWN
I want to know: what is your favorite color,UNKNOWN
I want to know: what kept M&M out,EXPLAIN_STOCK_EXCLUSION
I want to know: what losses did the backtest show,PORTFOLIO_RISK_SUMMARY
I want to know: what made M&M get selected,EXPLAIN_STOCK_INCLUSION
I want to know: what prevented a EICHERMOT position,EXPLAIN_STOCK_EXCLUSION
I want to know: what supports the EICHERMOT position,EXPLAIN_STOCK_INCLUSION
I want to know: who won the football match,UNKNOWN
I want to know: why are the weights like this,ALLOCATION_RATIONALE
I want to know: why did I get these holdings,ALLOCATION_RATIONALE
I want to know: why did the optimizer choose SUNPHARMA,EXPLAIN_STOCK_INCLUSION
I want to know: why did the optimizer reject SUNPHARMA,EXPLAIN_STOCK_EXCLUSION
I want to know: why did you exclude BHARTIARTL,EXPLAIN_STOCK_EXCLUSION
I want to know: why did you include BHARTIARTL,EXPLAIN_STOCK_INCLUSION
I want to know: why does my allocation contain BPCL,EXPLAIN_STOCK_INCLUSION
I want to know: why does my allocation omit BPCL,EXPLAIN_STOCK_EXCLUSION
I want to know: why is INDUSINDBK missing from my holdings,EXPLAIN_STOCK_EXCLUSION
I want to know: why is INDUSINDBK one of my holdings,EXPLAIN_STOCK_INCLUSION
I want to know: why is ITC in my portfolio,EXPLAIN_STOCK_INCLUSION
I want to know: why is ITC not in my portfolio,EXPLAIN_STOCK_EXCLUSION
I want to know: why is money allocated to LTIM,EXPLAIN_STOCK_INCLUSION
I want to know: why is no money allocated to LTIM,EXPLAIN_STOCK_EXCLUSION
I want to know: why is the portfolio allocated this way,ALLOCATION_RATIONALE
I want to know: why this combination of stocks,ALLOCATION_RATIONALE
I want to know: why was WIPRO bought,EXPLAIN_STOCK_INCLUSION
I want to know: why was WIPRO not selected,EXPLAIN_STOCK_EXCLUSION
I want to know: write an email for me,UNKNOWN
am I well diversified,DIVERSIFICATION_QUESTION
answer this: am I well diversified,DIVERSIFICATION_QUESTION
answer this: book a restaurant,UNKNOWN
answer this: describe diversification,DIVERSIFICATION_QUESTION
answer this: describe the portfolio construction,ALLOCATION_RATIONALE
answer this: describe the portfolio risk level,PORTFOLIO_RISK_SUMMARY
answer this: do I hold enough different assets,DIVERSIFICATION_QUESTION
answer this: explain my diversification score,DIVERSIFICATION_QUESTION
answer this: explain my risk numbers,PORTFOLIO_RISK_SUMMARY
answer this: explain the overall allocation,ALLOCATION_RATIONALE
answer this: explain the overall investment mix,ALLOCATION_RATIONALE
answer this: explain the rejection of TCS,EXPLAIN_STOCK_EXCLUSION
answer this: explain the selected mix,ALLOCATION_RATIONALE
answer this: explain the selection of TCS,EXPLAIN_STOCK_INCLUSION
answer this: explain why we do not own SUNPHARMA,EXPLAIN_STOCK_EXCLUSION
answer this: explain why we own SUNPHARMA,EXPLAIN_STOCK_INCLUSION
answer this: give me a risk summary,PORTFOLIO_RISK_SUMMARY
answer this: give me the concentration breakdown,DIVERSIFICATION_QUESTION
answer this: give me the portfolio rationale,ALLOCATION_RATIONALE
answer this: give me world news,UNKNOWN
answer this: help me buy a phone,UNKNOWN
answer this: how balanced is the portfolio,DIVERSIFICATION_QUESTION
answer this: how did the optimizer allocate my money,ALLOCATION_RATIONALE
answer this: how diversified is my portfolio,DIVERSIFICATION_QUESTION
answer this: how do I bake bread,UNKNOWN
answer this: how does the portfolio change in a crash,HYPOTHETICAL_SHOCK
answer this: how much risk am I taking,PORTFOLIO_RISK_SUMMARY
answer this: how risky is my portfolio,PORTFOLIO_RISK_SUMMARY
answer this: how spread out are my investments,DIVERSIFICATION_QUESTION
answer this: how volatile are these holdings,PORTFOLIO_RISK_SUMMARY
answer this: how would a 10% crash affect me,HYPOTHETICAL_SHOCK
answer this: is my allocation concentrated,DIVERSIFICATION_QUESTION
answer this: is one sector dominating,DIVERSIFICATION_QUESTION
answer this: is this portfolio high risk,PORTFOLIO_RISK_SUMMARY
answer this: justify including AXISBANK,EXPLAIN_STOCK_INCLUSION
answer this: justify leaving out AXISBANK,EXPLAIN_STOCK_EXCLUSION
answer this: play some music,UNKNOWN
answer this: reason for excluding ITC,EXPLAIN_STOCK_EXCLUSION
answer this: reason for holding ITC,EXPLAIN_STOCK_INCLUSION
answer this: reoptimize after a 10% decline,HYPOTHETICAL_SHOCK
answer this: run a crashes scenario,HYPOTHETICAL_SHOCK
answer this: run an inflation shock,HYPOTHETICAL_SHOCK
answer this: set an alarm,UNKNOWN
answer this: show a real market shock result,HYPOTHETICAL_SHOCK
answer this: show movie times,UNKNOWN
answer this: show my sharpe and volatility,PORTFOLIO_RISK_SUMMARY
answer this: show stock and sector concentration,DIVERSIFICATION_QUESTION
answer this: simulate a 5% market crashes,HYPOTHETICAL_SHOCK
answer this: simulate an interest rate increase,HYPOTHETICAL_SHOCK
answer this: stress test a market declines,HYPOTHETICAL_SHOCK
answer this: stress the IT sector,HYPOTHETICAL_SHOCK
answer this: summarize my portfolio risk,PORTFOLIO_RISK_SUMMARY
answer this: summarize the optimization decision,ALLOCATION_RATIONALE
answer this: summarize why this portfolio was chosen,ALLOCATION_RATIONALE
answer this: tell me a joke,UNKNOWN
answer this: tell me about sector diversification,DIVERSIFICATION_QUESTION
answer this: tell me the risk metrics,PORTFOLIO_RISK_SUMMARY
answer this: tell me why DIVISLAB is excluded,EXPLAIN_STOCK_EXCLUSION
answer this: tell me why DIVISLAB is included,EXPLAIN_STOCK_INCLUSION
answer this: translate this sentence,UNKNOWN
answer this: what determined the allocation,ALLOCATION_RATIONALE
answer this: what does analytics say about risk,PORTFOLIO_RISK_SUMMARY
answer this: what does the diversification metric mean,DIVERSIFICATION_QUESTION
answer this: what drove these weights,ALLOCATION_RATIONALE
answer this: what happens during a crash,HYPOTHETICAL_SHOCK
answer this: what if inflation rises 15%,HYPOTHETICAL_SHOCK
answer this: what if interest rates rise 5%,HYPOTHETICAL_SHOCK
answer this: what if the Pharma sector crashes,HYPOTHETICAL_SHOCK
answer this: what if the market drops,HYPOTHETICAL_SHOCK
answer this: what is my portfolio diversity,DIVERSIFICATION_QUESTION
answer this: what is my volatility,PORTFOLIO_RISK_SUMMARY
answer this: what is quantum physics,UNKNOWN
answer this: what is the capital of france,UNKNOWN
answer this: what is the concentration level,DIVERSIFICATION_QUESTION
answer this: what is the exclusion rationale for HINDALCO,EXPLAIN_STOCK_EXCLUSION
answer this: what is the inclusion rationale for HINDALCO,EXPLAIN_STOCK_INCLUSION
answer this: what is the logic behind the allocation,ALLOCATION_RATIONALE
answer this: what is the maximum drawdown,PORTFOLIO_RISK_SUMMARY
answer this: what is the realized risk,PORTFOLIO_RISK_SUMMARY
answer this: what is the weather today,UNKNOWN
answer this: what is your favorite color,UNKNOWN
answer this: what kept HDFCBANK out,EXPLAIN_STOCK_EXCLUSION
answer this: what losses did the backtest show,PORTFOLIO_RISK_SUMMARY
answer this: what made HDFCBANK get selected,EXPLAIN_STOCK_INCLUSION
answer this: what prevented a M&M position,EXPLAIN_STOCK_EXCLUSION
answer this: what supports the M&M position,EXPLAIN_STOCK_INCLUSION
answer this: who won the football match,UNKNOWN
answer this: why are the weights like this,ALLOCATION_RATIONALE
answer this: why did I get these holdings,ALLOCATION_RATIONALE
answer this: why did the optimizer choose WIPRO,EXPLAIN_STOCK_INCLUSION
answer this: why did the optimizer reject WIPRO,EXPLAIN_STOCK_EXCLUSION
answer this: why did you exclude RELIANCE,EXPLAIN_STOCK_EXCLUSION
answer this: why did you include RELIANCE,EXPLAIN_STOCK_INCLUSION
answer this: why does my allocation contain BHARTIARTL,EXPLAIN_STOCK_INCLUSION
answer this: why does my allocation omit BHARTIARTL,EXPLAIN_STOCK_EXCLUSION
answer this: why is EICHERMOT missing from my holdings,EXPLAIN_STOCK_EXCLUSION
answer this: why is EICHERMOT one of my holdings,EXPLAIN_STOCK_INCLUSION
answer this: why is TATASTEEL in my portfolio,EXPLAIN_STOCK_INCLUSION
answer this: why is TATASTEEL not in my portfolio,EXPLAIN_STOCK_EXCLUSION
answer this: why is money allocated to BPCL,EXPLAIN_STOCK_INCLUSION
answer this: why is no money allocated to BPCL,EXPLAIN_STOCK_EXCLUSION
answer this: why is the portfolio allocated this way,ALLOCATION_RATIONALE
answer this: why this combination of stocks,ALLOCATION_RATIONALE
answer this: why was INFY bought,EXPLAIN_STOCK_INCLUSION
answer this: why was INFY not selected,EXPLAIN_STOCK_EXCLUSION
answer this: write an email for me,UNKNOWN
"based on my portfolio, am I well diversified",DIVERSIFICATION_QUESTION
"based on my portfolio, book a restaurant",UNKNOWN
"based on my portfolio, describe diversification",DIVERSIFICATION_QUESTION
"based on my portfolio, describe the portfolio construction",ALLOCATION_RATIONALE
"based on my portfolio, describe the portfolio risk level",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, do I hold enough different assets",DIVERSIFICATION_QUESTION
"based on my portfolio, explain my diversification score",DIVERSIFICATION_QUESTION
"based on my portfolio, explain my risk numbers",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, explain the overall allocation",ALLOCATION_RATIONALE
"based on my portfolio, explain the overall investment mix",ALLOCATION_RATIONALE
"based on my portfolio, explain the rejection of LTIM",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, explain the selected mix",ALLOCATION_RATIONALE
"based on my portfolio, explain the selection of LTIM",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, explain why we do not own M&M",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, explain why we own M&M",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, give me a risk summary",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, give me the concentration breakdown",DIVERSIFICATION_QUESTION
"based on my portfolio, give me the portfolio rationale",ALLOCATION_RATIONALE
"based on my portfolio, give me world news",UNKNOWN
"based on my portfolio, help me buy a phone",UNKNOWN
"based on my portfolio, how balanced is the portfolio",DIVERSIFICATION_QUESTION
"based on my portfolio, how did the optimizer allocate my money",ALLOCATION_RATIONALE
"based on my portfolio, how diversified is my portfolio",DIVERSIFICATION_QUESTION
"based on my portfolio, how do I bake bread",UNKNOWN
"based on my portfolio, how does the portfolio change in a crash",HYPOTHETICAL_SHOCK
"based on my portfolio, how much risk am I taking",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, how risky is my portfolio",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, how spread out are my investments",DIVERSIFICATION_QUESTION
"based on my portfolio, how volatile are these holdings",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, how would a 5% crash affect me",HYPOTHETICAL_SHOCK
"based on my portfolio, is my allocation concentrated",DIVERSIFICATION_QUESTION
"based on my portfolio, is one sector dominating",DIVERSIFICATION_QUESTION
"based on my portfolio, is this portfolio high risk",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, justify including INFY",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, justify leaving out INFY",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, play some music",UNKNOWN
"based on my portfolio, reason for excluding MARUTI",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, reason for holding MARUTI",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, reoptimize after a 5% decline",HYPOTHETICAL_SHOCK
"based on my portfolio, run a declines scenario",HYPOTHETICAL_SHOCK
"based on my portfolio, run an inflation shock",HYPOTHETICAL_SHOCK
"based on my portfolio, set an alarm",UNKNOWN
"based on my portfolio, show a real market shock result",HYPOTHETICAL_SHOCK
"based on my portfolio, show movie times",UNKNOWN
"based on my portfolio, show my sharpe and volatility",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, show stock and sector concentration",DIVERSIFICATION_QUESTION
"based on my portfolio, simulate a 25% market declines",HYPOTHETICAL_SHOCK
"based on my portfolio, simulate an interest rate increase",HYPOTHETICAL_SHOCK
"based on my portfolio, stress test a market crashes",HYPOTHETICAL_SHOCK
"based on my portfolio, stress the Pharma sector",HYPOTHETICAL_SHOCK
"based on my portfolio, summarize my portfolio risk",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, summarize the optimization decision",ALLOCATION_RATIONALE
"based on my portfolio, summarize why this portfolio was chosen",ALLOCATION_RATIONALE
"based on my portfolio, tell me a joke",UNKNOWN
"based on my portfolio, tell me about sector diversification",DIVERSIFICATION_QUESTION
"based on my portfolio, tell me the risk metrics",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, tell me why RELIANCE is excluded",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, tell me why RELIANCE is included",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, translate this sentence",UNKNOWN
"based on my portfolio, what determined the allocation",ALLOCATION_RATIONALE
"based on my portfolio, what does analytics say about risk",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, what does the diversification metric mean",DIVERSIFICATION_QUESTION
"based on my portfolio, what drove these weights",ALLOCATION_RATIONALE
"based on my portfolio, what happens during a crash",HYPOTHETICAL_SHOCK
"based on my portfolio, what if inflation rises 10%",HYPOTHETICAL_SHOCK
"based on my portfolio, what if interest rates rise 25%",HYPOTHETICAL_SHOCK
"based on my portfolio, what if the Automobile sector crashes",HYPOTHETICAL_SHOCK
"based on my portfolio, what if the market falls",HYPOTHETICAL_SHOCK
"based on my portfolio, what is my portfolio diversity",DIVERSIFICATION_QUESTION
"based on my portfolio, what is my volatility",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, what is quantum physics",UNKNOWN
"based on my portfolio, what is the capital of france",UNKNOWN
"based on my portfolio, what is the concentration level",DIVERSIFICATION_QUESTION
"based on my portfolio, what is the exclusion rationale for BHARTIARTL",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, what is the inclusion rationale for BHARTIARTL",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, what is the logic behind the allocation",ALLOCATION_RATIONALE
"based on my portfolio, what is the maximum drawdown",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, what is the realized risk",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, what is the weather today",UNKNOWN
"based on my portfolio, what is your favorite color",UNKNOWN
"based on my portfolio, what kept ASIANPAINT out",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, what losses did the backtest show",PORTFOLIO_RISK_SUMMARY
"based on my portfolio, what made ASIANPAINT get selected",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, what prevented a TCS position",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, what supports the TCS position",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, who won the football match",UNKNOWN
"based on my portfolio, why are the weights like this",ALLOCATION_RATIONALE
"based on my portfolio, why did I get these holdings",ALLOCATION_RATIONALE
"based on my portfolio, why did the optimizer choose HDFCBANK",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, why did the optimizer reject HDFCBANK",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, why did you exclude NTPC",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, why did you include NTPC",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, why does my allocation contain TATASTEEL",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, why does my allocation omit TATASTEEL",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, why is DIVISLAB missing from my holdings",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, why is DIVISLAB one of my holdings",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, why is SUNPHARMA in my portfolio",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, why is SUNPHARMA not in my portfolio",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, why is money allocated to ITC",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, why is no money allocated to ITC",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, why is the portfolio allocated this way",ALLOCATION_RATIONALE
"based on my portfolio, why this combination of stocks",ALLOCATION_RATIONALE
"based on my portfolio, why was INDUSINDBK bought",EXPLAIN_STOCK_INCLUSION
"based on my portfolio, why was INDUSINDBK not selected",EXPLAIN_STOCK_EXCLUSION
"based on my portfolio, write an email for me",UNKNOWN
book a restaurant,UNKNOWN
can you am I well diversified,DIVERSIFICATION_QUESTION
can you book a restaurant,UNKNOWN
can you describe diversification,DIVERSIFICATION_QUESTION
